datetime;pulses_per_minute
2022-12-24 1:36:52;18
2022-12-24 1:37:52;18
2022-12-24 1:38:52;10
2022-12-24 1:39:52;17
2022-12-24 1:40:52;19
2022-12-24 1:41:52;19
2022-12-24 1:42:52;21
2022-12-24 1:43:52;30
2022-12-24 1:44:52;18
2022-12-24 1:45:52;13
2022-12-24 1:46:52;17
2022-12-24 1:47:52;12
2022-12-24 1:48:52;13
2022-12-24 1:49:52;14
2022-12-24 1:50:52;19
2022-12-24 1:51:52;12
2022-12-24 1:52:52;13
2022-12-24 1:53:52;23
2022-12-24 1:54:52;21
2022-12-24 1:55:52;19
2022-12-24 1:56:53;9
2022-12-24 1:57:53;19
2022-12-24 1:58:53;20
2022-12-24 1:59:53;17
2022-12-24 2:0:53;16
2022-12-24 2:1:53;21
2022-12-24 2:2:53;12
2022-12-24 2:3:53;14
2022-12-24 2:4:53;12
2022-12-24 2:5:53;9
2022-12-24 2:6:53;21
2022-12-24 2:7:53;14
2022-12-24 2:8:53;13
2022-12-24 2:9:53;6
2022-12-24 2:10:53;8
2022-12-24 2:11:53;12
2022-12-24 2:12:53;18
2022-12-24 2:13:53;20
2022-12-24 2:14:53;17
2022-12-24 2:15:53;18
2022-12-24 2:16:53;12
2022-12-24 2:17:53;14
2022-12-24 2:18:53;21
2022-12-24 2:19:53;15
2022-12-24 2:20:53;23
2022-12-24 2:21:53;17
2022-12-24 2:22:53;18
2022-12-24 2:23:53;23
2022-12-24 2:24:53;11
2022-12-24 2:25:53;17
2022-12-24 2:26:53;18
2022-12-24 2:27:53;11
2022-12-24 2:28:53;15
2022-12-24 2:29:53;22
2022-12-24 2:30:53;25
2022-12-24 2:31:53;19
2022-12-24 2:32:53;22
2022-12-24 2:33:53;21
2022-12-24 2:34:53;14
2022-12-24 2:35:53;20
2022-12-24 2:36:53;24
2022-12-24 2:37:53;20
2022-12-24 2:38:53;19
2022-12-24 2:39:53;12
2022-12-24 2:40:53;19
2022-12-24 2:41:53;24
2022-12-24 2:42:53;18
2022-12-24 2:43:53;19
2022-12-24 2:44:53;14
2022-12-24 2:45:53;19
2022-12-24 2:46:53;27
2022-12-24 2:47:53;12
2022-12-24 2:48:53;20
2022-12-24 2:49:53;15
2022-12-24 2:50:53;17
2022-12-24 2:51:53;14
2022-12-24 2:52:53;20
2022-12-24 2:53:53;17
2022-12-24 2:54:53;14
2022-12-24 2:55:53;13
2022-12-24 2:56:53;24
2022-12-24 2:57:53;14
2022-12-24 2:58:53;23
2022-12-24 2:59:53;18
2022-12-24 3:0:53;15
2022-12-24 3:1:53;18
2022-12-24 3:2:53;11
2022-12-24 3:3:53;17
2022-12-24 3:4:53;18
2022-12-24 3:5:53;21
2022-12-24 3:6:53;15
2022-12-24 3:7:53;16
2022-12-24 3:8:53;15
2022-12-24 3:9:53;11
2022-12-24 3:10:53;15
2022-12-24 3:11:53;18
2022-12-24 3:12:53;10
2022-12-24 3:13:53;15
2022-12-24 3:14:53;13
2022-12-24 3:15:53;13
2022-12-24 3:16:53;16
2022-12-24 3:17:53;17
2022-12-24 3:18:53;14
2022-12-24 3:19:53;15
2022-12-24 3:20:53;20
2022-12-24 3:21:53;16
2022-12-24 3:22:53;16
2022-12-24 3:23:53;18
2022-12-24 3:24:53;18
2022-12-24 3:25:53;18
2022-12-24 3:26:53;14
2022-12-24 3:27:53;16
2022-12-24 3:28:53;20
2022-12-24 3:29:53;14
2022-12-24 3:30:53;15
2022-12-24 3:31:53;12
2022-12-24 3:32:53;8
2022-12-24 3:33:53;18
2022-12-24 3:34:53;19
2022-12-24 3:35:53;14
2022-12-24 3:36:53;16
2022-12-24 3:37:53;16
2022-12-24 3:38:53;16
2022-12-24 3:39:53;20
2022-12-24 3:40:53;11
2022-12-24 3:41:53;8
2022-12-24 3:42:53;16
2022-12-24 3:43:53;14
2022-12-24 3:44:53;14
2022-12-24 3:45:53;16
2022-12-24 3:46:53;15
2022-12-24 3:47:53;18
2022-12-24 3:48:53;16
2022-12-24 3:49:53;19
2022-12-24 3:50:53;16
2022-12-24 3:51:53;15
2022-12-24 3:52:53;27
2022-12-24 3:53:53;20
2022-12-24 3:54:53;16
2022-12-24 3:55:53;14
2022-12-24 3:56:53;25
2022-12-24 3:57:53;19
2022-12-24 3:58:53;18
2022-12-24 3:59:53;17
2022-12-24 4:0:53;17
2022-12-24 4:1:53;19
2022-12-24 4:2:53;20
2022-12-24 4:3:53;18
2022-12-24 4:4:53;16
2022-12-24 4:5:53;13
2022-12-24 4:6:53;22
2022-12-24 4:7:53;15
2022-12-24 4:8:53;16
2022-12-24 4:9:53;15
2022-12-24 4:10:53;14
2022-12-24 4:11:53;14
2022-12-24 4:12:53;19
2022-12-24 4:13:53;22
2022-12-24 4:14:53;19
2022-12-24 4:15:53;14
2022-12-24 4:16:54;13
2022-12-24 4:17:54;16
2022-12-24 4:18:54;17
2022-12-24 4:19:54;12
2022-12-24 4:20:54;17
2022-12-24 4:21:54;17
2022-12-24 4:22:54;16
2022-12-24 4:23:54;19
2022-12-24 4:24:54;19
2022-12-24 4:25:54;17
2022-12-24 4:26:54;10
2022-12-24 4:27:54;27
2022-12-24 4:28:54;14
2022-12-24 4:29:54;15
2022-12-24 4:30:54;15
2022-12-24 4:31:54;15
2022-12-24 4:32:54;14
2022-12-24 4:33:54;15
2022-12-24 4:34:54;9
2022-12-24 4:35:54;14
2022-12-24 4:36:54;21
2022-12-24 4:37:54;18
2022-12-24 4:38:54;15
2022-12-24 4:39:54;20
2022-12-24 4:40:54;19
2022-12-24 4:41:54;22
2022-12-24 4:42:54;16
2022-12-24 4:43:54;14
2022-12-24 4:44:54;18
2022-12-24 4:45:54;20
2022-12-24 4:46:54;12
2022-12-24 4:47:54;18
2022-12-24 4:48:54;23
2022-12-24 4:49:54;14
2022-12-24 4:50:54;12
2022-12-24 4:51:54;20
2022-12-24 4:52:54;16
2022-12-24 4:53:54;23
2022-12-24 4:54:54;15
2022-12-24 4:55:54;17
2022-12-24 4:56:54;19
2022-12-24 4:57:54;27
2022-12-24 4:58:54;18
2022-12-24 4:59:54;16
2022-12-24 5:0:54;21
2022-12-24 5:1:54;24
2022-12-24 5:2:54;14
2022-12-24 5:3:54;9
2022-12-24 5:4:54;19
2022-12-24 5:5:54;23
2022-12-24 5:6:54;19
2022-12-24 5:7:54;17
2022-12-24 5:8:54;13
2022-12-24 5:9:54;9
2022-12-24 5:10:54;17
2022-12-24 5:11:54;18
2022-12-24 5:12:54;13
2022-12-24 5:13:54;22
2022-12-24 5:14:54;11
2022-12-24 5:15:54;18
2022-12-24 5:16:54;22
2022-12-24 5:17:54;14
2022-12-24 5:18:54;13
2022-12-24 5:19:54;16
2022-12-24 5:20:54;13
2022-12-24 5:21:54;17
2022-12-24 5:22:54;17
2022-12-24 5:23:54;9
2022-12-24 5:24:54;20
2022-12-24 5:25:54;9
2022-12-24 5:26:54;19
2022-12-24 5:27:54;15
2022-12-24 5:28:54;18
2022-12-24 5:29:54;22
2022-12-24 5:30:54;16
2022-12-24 5:31:54;18
2022-12-24 5:32:54;14
2022-12-24 5:33:54;16
2022-12-24 5:34:54;22
